,Unnamed: 0,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
25103,34914,3952,10,11207,2,0,2375,1964,1901,1,680000
25104,34915,3952,10,11207,2,0,2375,1964,1901,1,400000
25105,34917,3952,18,11207,2,0,1743,1993,2006,1,645000
25106,34921,3954,37,11208,2,0,2800,2195,1901,1,343000
25107,34922,3955,7,11208,2,0,2500,1720,1905,1,615000
25108,34925,3956,63,11208,2,0,1050,1876,1901,1,177000
25109,34927,3957,31,11208,2,0,2500,1188,1901,1,130000
25110,34928,3958,135,11208,2,0,2018,2517,2005,1,100000
25111,34929,3958,136,11208,2,0,2018,2517,2005,1,835000
25112,34930,3960,7,11208,2,0,1402,1208,1901,1,839475
25113,34931,3960,10,11208,2,0,2005,2120,1901,1,780000
25114,34932,3960,34,11208,2,0,2394,1940,1901,1,600000
25115,34933,4102,4,11208,2,0,2790,1604,1910,1,80000
25116,34934,4102,7,11208,2,0,3750,2200,1910,1,799000
25117,34935,4103,12,11208,2,0,7500,1880,1920,1,760000
25118,34937,4105,129,11208,2,0,2069,2048,1901,1,560000
25119,34938,4106,5,11208,2,0,1964,2400,1935,1,25000
25120,34939,4106,16,11208,2,0,2240,1760,1930,1,726000
25121,34940,4106,16,11208,2,0,2240,1760,1930,1,290000
25122,34941,4106,18,11208,2,0,2552,1760,1930,1,175000
25123,34945,4107,17,11208,2,0,2500,1459,1925,1,589000
25124,34946,4107,61,11208,2,0,2000,1680,1915,1,270000
25125,34947,4107,71,11208,2,0,1800,1860,1910,1,700000
25126,34949,4107,128,11208,2,0,1667,1760,1925,1,750000
25127,34950,4108,3,11208,2,0,2767,3540,2003,1,600000
25128,34952,4108,100,11208,2,0,2500,2040,1910,1,590000
25129,34953,4109,26,11208,2,0,2083,1888,1901,1,562500
25130,34954,4109,32,11208,2,0,2450,2320,1901,1,805000
25131,34956,4109,116,11208,2,0,2250,3420,1905,1,705263
25132,34957,4109,116,11208,2,0,2250,3420,1905,1,585000
25133,34958,4111,7,11208,2,0,2500,2080,1901,1,739000
25134,34960,4111,22,11208,2,0,2000,2080,1899,1,411500
25135,34961,4112,16,11208,2,0,2000,1340,1910,1,640000
25136,34962,4112,22,11208,2,0,2000,2080,1910,1,610950
